CD_MUNICIPIO,2018,2020,2022,2024,FL_MULTIZONA,FL_ZONA_RENUMERADA,QT_LOCAIS
37699,175,175,175,175,False,False,42
37710,89,89,89,89,False,False,9
37737,111,111,111,111,False,False,35
37753,173,173,173,173,False,False,47
37770,52,52,52,52,False,False,16
37796,133,133,133,133,False,False,6
37818,"84,181","84,181","84,181","84,181",True,False,63
37834,130,130,130,130,False,False,5
37850,51,51,51,51,False,False,20
37877,105,105,105,105,False,False,58
37893,195,195,195,195,False,False,77
37915,117,117,117,117,False,False,24
37931,115,115,115,115,False,False,24
37940,151,151,151,151,False,False,8
37958,177,177,177,177,False,False,6
37974,54,54,54,54,False,False,16
37990,37,37,37,37,False,False,16
38016,139,139,139,139,False,False,27
38032,59,59,59,59,False,False,34
38059,200,200,200,200,False,False,15
38067,149,149,149,149,False,False,11
38075,"121,122","121,122","121,122","121,122",True,False,45
38091,138,138,138,138,False,False,11
38113,112,112,112,112,False,False,22
38130,95,95,95,95,False,False,24
38156,60,60,60,60,False,False,15
38164,197,197,197,197,False,False,19
38172,106,106,106,106,False,False,21
38199,102,102,102,102,False,False,34
38210,67,67,67,67,False,False,56
38237,196,196,196,196,False,False,20
38253,182,182,182,182,False,False,33
38270,114,114,114,114,False,False,33
38296,113,113,113,113,False,False,26
38318,79,79,79,79,False,False,17
38334,110,110,110,110,False,False,38
38342,152,152,152,152,False,False,8
38350,101,101,101,101,False,False,26
38377,93,93,93,93,False,False,13
38393,111,111,111,111,False,False,19
38415,49,49,49,49,False,False,35
38431,158,158,158,158,False,False,7
38458,87,87,87,87,False,False,24
38474,30,30,30,30,False,False,11
38490,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",True,False,704
38512,160,160,160,160,False,False,17
38539,181,181,181,181,False,False,20
38555,121,121,121,121,False,False,17
38571,29,29,29,29,False,False,5
38598,38,38,38,38,False,False,15
38610,145,145,145,145,False,False,35
38636,72,72,72,72,False,False,36
38652,99,99,99,99,False,False,21
38679,74,74,74,74,False,False,13
38695,107,107,107,107,False,False,19
38717,178,178,178,178,False,False,36
38733,"56,202","56,202","56,202","56,202",True,False,66
38750,143,143,143,143,False,False,33
38776,100,100,100,100,False,False,46
38792,118,118,118,118,False,False,9
38806,120,120,120,120,False,False,8
38814,184,184,184,184,False,False,29
38822,72,72,72,72,False,False,12
38830,162,162,162,162,False,False,37
38857,108,108,108,108,False,False,31
38865,191,191,191,191,False,False,7
38873,36,36,36,36,False,False,13
38890,128,128,128,128,False,False,19
38911,142,142,142,142,False,False,17
38938,44,44,44,44,False,False,26
38946,178,178,178,178,False,False,9
38954,115,115,115,115,False,False,9
38970,88,88,88,88,False,False,68
38997,175,175,175,175,False,False,12
39012,45,45,45,45,False,False,57
39039,96,96,96,96,False,False,45
39047,71,71,71,71,False,False,32
39055,190,190,190,190,False,False,22
39071,194,155,155,155,False,True,34
39098,150,150,150,150,False,False,73
39110,46,46,46,46,False,False,11
39136,33,33,33,33,False,False,45
39144,71,71,71,71,False,False,13
39152,174,174,174,174,False,False,22
39179,190,190,190,190,False,False,16
39195,58,58,58,58,False,False,32
39217,160,160,160,160,False,False,6
39233,32,32,32,32,False,False,17
39250,54,54,54,54,False,False,9
39276,130,130,130,130,False,False,7
39292,123,123,123,123,False,False,27
39314,197,197,197,197,False,False,12
39330,128,128,128,128,False,False,10
39357,177,177,177,177,False,False,17
39373,80,80,80,80,False,False,57
39390,83,83,83,83,False,False,26
39411,38,38,38,38,False,False,15
39438,73,73,73,73,False,False,12
39454,134,134,134,134,False,False,19
39470,159,159,159,159,False,False,21
39489,167,167,167,167,False,False,14
39497,116,116,116,116,False,False,23
39519,117,117,117,117,False,False,15
39535,198,198,198,198,False,False,21
39551,69,69,69,69,False,False,15
39578,31,31,31,31,False,False,48
39594,120,120,120,120,False,False,27
39616,103,103,103,103,False,False,6
39624,56,56,56,56,False,False,13
39632,141,141,141,141,False,False,33
39640,148,148,148,148,False,False,11
39659,"39,40,41","39,40,41","39,40,41","39,40,41",True,False,156
39675,69,69,69,69,False,False,13
39691,197,197,197,197,False,False,22
39713,68,68,68,68,False,False,52
39730,104,104,104,104,False,False,33
39748,162,162,162,162,False,False,9
39756,161,161,161,161,False,False,7
39772,97,97,97,97,False,False,22
39799,106,106,106,106,False,False,12
39810,114,114,114,114,False,False,15
39837,62,62,62,62,False,False,12
39845,191,191,191,191,False,False,11
39853,43,43,43,43,False,False,25
39870,133,133,133,133,False,False,9
39896,95,95,95,95,False,False,38
39900,51,51,51,51,False,False,15
39918,168,168,168,168,False,False,21
39926,166,166,166,166,False,False,6
39934,183,183,183,183,False,False,50
39942,88,88,88,88,False,False,25
39950,55,55,55,55,False,False,10
39969,151,151,151,151,False,False,6
39977,86,86,86,86,False,False,15
39985,66,66,66,66,False,False,13
39993,98,98,98,98,False,False,17
